,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,categories,url
1117,2141,Dawson Trail Craft Brewery,"905 Copper Cres, Thunder Bay, Ontario",48.4128624,-89.2545172,"905 Copper Cres, Thunder Bay, Ontario P7B 6G1 Canada",T1117,4.8,"['Breweries', 'Breweries']",https://www.tripadvisor.ca/Attraction_Review-g155017-d9996920-Reviews-Dawson_Trail_Craft_Brewery-Thunder_Bay_Thunder_Bay_District_Ontario.html
1118,2142,Thunder Bay Country Market,"425 Northern Ave, Thunder Bay, Ontario",48.396281410351165,-89.2450583860342,"425 Northern Ave CLE Dove Building, Thunder Bay, Ontario P7C 2V7 Canada",T1118,4.9,"['Flea & Street Markets', 'Farmers Markets', 'Flea & Street Markets', 'Farmers Markets']",https://www.tripadvisor.ca/Attraction_Review-g155017-d14988497-Reviews-Thunder_Bay_Country_Market-Thunder_Bay_Thunder_Bay_District_Ontario.html
1119,2143,Thunder Bay Art Gallery,"1080 Keewatin Street, Thunder Bay, Ontario",48.4046838,-89.2637975,"1080 Keewatin Street, Thunder Bay, Ontario Canada",T1119,4.5,"['Art Galleries', 'Art Galleries']",https://www.tripadvisor.ca/Attraction_Review-g155017-d3398420-Reviews-Thunder_Bay_Art_Gallery-Thunder_Bay_Thunder_Bay_District_Ontario.html
1120,2145,Red Rock Marina Centre,"7 Park Road, Red Rock, Ontario",48.9456569,-88.259361,"7 Park Road, Red Rock, Ontario P0T 2P0 Canada",T1120,5.0,"['Marinas', 'Marinas']",https://www.tripadvisor.ca/Attraction_Review-g1421122-d8405281-Reviews-Red_Rock_Marina_Centre-Red_Rock_Thunder_Bay_District_Ontario.html
1121,2146,Founders' Museum & Pioneer Village,"3190 Highway 61, Thunder Bay, Ontario",48.307646,-89.4159053,"3190 Highway 61 South, Thunder Bay, Ontario P7J 0G8 Canada",T1121,4.4,"['Speciality Museums', 'Speciality Museums']",https://www.tripadvisor.ca/Attraction_Review-g155017-d4458104-Reviews-Founders_Museum_Pioneer_Village-Thunder_Bay_Thunder_Bay_District_Ontario.html
1122,2147,Gammondale Farm,"426 McCluskey Dr, Thunder Bay, Ontario",48.307668215384616,-89.49939372307692,"426 McCluskey Dr Slate River, Thunder Bay, Ontario P7J 0B3 Canada",T1122,4.4,"['Farms', 'Farms']",https://www.tripadvisor.ca/Attraction_Review-g155017-d3940491-Reviews-Gammondale_Farm-Thunder_Bay_Thunder_Bay_District_Ontario.html
1123,2148,Magnus Theater,"10 Algoma St, Thunder Bay, Ontario",50.1832578,-86.7117993,"10 Algoma St S The Dr. S. Penny Petrone Centre for the Performing Arts, Thunder Bay, Ontario P7B 3A7 Canada",T1123,4.7,"['Theatres', 'Theatres']",https://www.tripadvisor.ca/Attraction_Review-g155017-d2626778-Reviews-Magnus_Theater-Thunder_Bay_Thunder_Bay_District_Ontario.html
1124,2151,Ontario Travel Information Centre - Pigeon River,"7671 Highway 61, Neebing, Ontario",48.1159191,-89.4518648,"7671 Highway 61, Neebing, Ontario P7L 0A2 Canada",T1124,5.0,"['Visitor Centres', 'Visitor Centres']",https://www.tripadvisor.ca/Attraction_Review-g11444386-d10385812-Reviews-Ontario_Travel_Information_Centre_Pigeon_River-Neebing_Thunder_Bay_District_On.html
1125,2153,Wabakimi Provincial Park,"Caribou Lake Road, Armstrong Station, Ontario",50.3343917,-89.0951766,"Caribou Lake Road, Armstrong Station, Ontario Canada",T1125,5.0,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g3834924-d7282225-Reviews-Wabakimi_Provincial_Park-Armstrong_Station_Thunder_Bay_District_Ontario.html
1126,2159,Eagle Ridge Trout Ponds,"7081 Highway 61, Neebing, Ontario",48.0444661,-89.5447928,"7081 Highway 61, Neebing, Ontario P7L 0A1 Canada",T1126,5.0,"['Nature & Wildlife Areas', 'Nature & Wildlife Areas']",https://www.tripadvisor.ca/Attraction_Review-g11444386-d5074575-Reviews-Eagle_Ridge_Trout_Ponds-Neebing_Thunder_Bay_District_Ontario.html
